description,rating,number_of_lists,number_of_watches,number_of_likes,number_of_fans,name_of_director,film_name
"EVERY WOMAN WHO HAS LOVED WILL UNDERSTAND
A tale of the World War I love affair, begun in Italy, between American ambulance driver Lt. Frederic Henry and British nurse Catherine Barkley. Eventually separated by Frederic’s transfer, tremendous challenges and difficult decisions face each as the war rages on.",3.3,8.9K,10K,1.7K,8 FANS,Frank Borzage,a-farewell-to-arms-1932
"SIX STICKS OF DYNAMITE THAT BLASTED HIS WAY TO FREEDOM … AND AWOKE AMERICA’S CONSCIENCE!
A World War I veteran’s dreams of becoming a master architect evaporate in the cold light of economic realities. Things get even worse when he’s falsely convicted of a crime and sent to work on a chain gang.",4.1,19K,18K,5K,57 FANS,Mervyn LeRoy,i-am-a-fugitive-from-a-chain-gang-1932
"TAKES ITS PLACE AMONG THE GREATEST PICTURES EVER MADE!
Apple Annie is an aging New York City fruit seller whose daughter Louise has been raised in a Spanish convent since she was an infant. As she grows up, Louise is led to believe that her mother is a society matron called Mrs. E. Worthington Manville. Annie worries that her lie is in danger of being uncovered when she learns that Louise is sailing to New York with her new fiancé and his nobleman father.",3.6,6.4K,5K,947,6 FANS,Frank Capra,lady-for-a-day-1932
"LOUISA MAY ALCOTT’S IMMORTAL STORY!
Four sisters come of age during the American Civil War. With their father away fighting, the family, headed by their mother, experiences tribulations, joy, and kindness from their wealthy neighbor and his high-spirited grandson.",3.5,12K,15K,2.8K,30 FANS,George Cukor,little-women-1932
"HE GAVE HIS WIVES A PAIN IN THE NECK, AND DID HIS NECKING WITH AN AXE. HENRY, THE EIGHTH WONDER OF THE WORLD! AND THIS PICTURE…THE WONDER OF ALL TIME!
Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.",3.4,8.2K,6.2K,1.1K,4 FANS,Alexander Korda,the-private-life-of-henry-viii-1932
"MAE WEST GIVES A ‘HOT TIME’ TO THE NATION!
New York singer and nightclub owner Lady Lou has more men friends than you can imagine. One of them is a vicious criminal who’s escaped and is on the way to see “his” girl, not realising she hasn’t exactly been faithful in his absence. Help is at hand in the form of young Captain Cummings, a local temperance league leader.",3.1,14K,16K,2.5K,11 FANS,Lowell Sherman,she-done-him-wrong-1932
"EXQUISITE ROMANCE!
On the day of his wedding, Sir John Carteret’s fiancée, Moonyeen, is killed by a jealous rival named Jeremy, leaving him emotionally devastated. Carteret spends three decades in seclusion, mostly communing with the spirit of Moonyeen, until he learns that her niece, Kathleen, has become an orphan. He adopts and raises the child as his own but is alarmed when, as a young woman, she falls in love with the son of Moonyeen’s murderer.",3.4,3.6K,2K,436,2 FANS,Sidney Franklin,smilin-through-1932
"A “DEMAND” SHOWING OF THE UNFORGETTABLE FILM THAT BROUGHT WILL ROGERS HIS GREATEST FAME!
The children of Iowa farmers find love, with mixed results, at the state fair.",3.4,4.3K,2K,351,3 FANS,Henry King,state-fair-1932
"AN UNFORGETTABLE ENTERTAINMENT…THE OUTSTANDING PERFORMANCE OF TWO OUTSTANDING CAREERS!
A runaway heiress makes a deal with the rogue reporter trailing her but the mismatched pair end up stuck with each other when their bus leaves them behind.",4.2,100K,173K,60K,2.2K FANS,Frank Capra,it-happened-one-night-1934
"WHEN POETS LOVE, HEAVEN AND EARTH FALL BACK TO WATCH!
Remarkable poet Elizabeth Barrett is slowly recovering from a crippling illness with the help of her siblings, especially her youngest sister, Henrietta, but feels stifled by the domestic tyranny of her wealthy widowed father. When she meets fellow poet Robert Browning in a romantic first encounter, her heart belongs to him. However, her controlling father has no intention of allowing her out of his sight.",3.3,3.9K,2K,343,,Sidney Franklin,the-barretts-of-wimpole-street-1934
"THE LOVE AFFAIR THAT SHOOK THE WORLD!
The queen of Egypt barges the Nile and flirts with Mark Antony and Julius Caesar.",3.4,8.5K,7.8K,1.5K,2 FANS,Cecil B. DeMille,cleopatra-1934
"ATTEN-SHUN! HERE COMES WARNER BROS. MILITARY MUSICAL!
A private stationed in Hawaii gets involved with the general’s engaged daughter. In order to avoid a scandal, the pair break up, but meet again years later when he’s at West Point producing the annual play that turns out to star her.",2.9,3K,1.1K,62,,Frank Borzage,flirtation-walk-1934
"THE KING AND QUEEN OF ‘CARIOCA’
Seeking a divorce from her absentee husband, Mimi Glossop travels to an English seaside resort. There she falls in love with dancer Guy Holden, whom she later mistakes for the corespondent her lawyer hired.",3.5,11K,14K,3.1K,27 FANS,Mark Sandrich,the-gay-divorcee-1934
"JAMES CAGNEY - PAT O’BRIEN AND THE WHOLE U. S. FLEET!
A cocky guy joins the Navy for the wrong reason but finds romance and twice is cited for heroism.",,3K,1.2K,101,,Lloyd Bacon,here-comes-the-navy-1934
"HE BROKE THE SWORD OF NAPOLEON WITH A STROKE OF HIS PEN
The story of the rise of the Rothschild financial empire founded by Mayer Rothschild and continued by his five sons. From humble beginnings the business grows and helps to finance the war against Napoleon, but it’s not always easy, especially because of the prejudices against Jews.",3.0,3.2K,1.2K,98,2 FANS,Alfred L. Werker,the-house-of-rothschild-1934
"THE DARING STORY OF MOTHER LOVE - ON THE SCREEN FOR THE FIRST TIME!
A struggling widow and her daughter take in a black housekeeper and her fair-skinned daughter. The two women start a successful business but face familial, identity, and racial issues along the way.",3.5,8.6K,10K,2K,18 FANS,John M. Stahl,imitation-of-life-1934
"A GREAT STAR COMES INTO HER OWN!
Mary Barrett is an aspiring opera singer who is taken under the wings of a famous operatic maestro, Guilio Monterverdi. After spending endless working hours together and arguing, their relationship develops into love. But, jealousy and misunderstandings prevent Mary and Guilio from acknowledging their true feelings.",,4.2K,947,48,,Victor Schertzinger,one-night-of-love-1934
"A LAUGH TOPS EVERY THRILLING MOMENT!
A husband and wife detective team takes on the search for a missing inventor and almost get killed for their efforts.",4.0,34K,54K,18K,645 FANS,W.S. Van Dyke,the-thin-man-1934
"…TOO BIG FOR HOLLYWOOD…IT WAS DRAMATIZED IN THE HEART OF MEXICO, WITH A CAST OF THOUSANDS!
In this fictionalized biography, young Pancho Villa takes to the hills after killing an overseer in revenge for his father’s death.",3.1,3.9K,1.4K,138,1 FAN,Jack Conway,viva-villa-1934
"THIS STORY WAS NEVER TOLD! …OF GIRLS NOBODY KNOWS!
The title represents the hopeful, ambitious students at a hospital training school and is primarily a story of the stern discipline and laborious physical and mental toil they endure in order to become nurses and join the White Parade. It is told mainly through the character of June Arden who finds romance with Ronald Hall III on the way, with side stories of the other girls who find failure, success, laughs and tears on the way.",,2.5K,190,19,1 FAN,Irving Cummings,the-white-parade-1934
"CLARK GABLE AS THE DARING MUTINEER IN THE SCREEN’S MOST EXCITING ADVENTURE STORY!
Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on revenge.",3.7,26K,26K,4.4K,14 FANS,Frank Lloyd,mutiny-on-the-bounty-1935
"TWENTY-TWO AND WONDERFUL … AS BOOTH TARKINGTON’S LOVELIEST HEROINE!
In the lower-middle-class Adams family, father and son are happy to work in a drugstore, but mother and daughter Alice try every possible social-climbing stratagem despite snubs and embarrassment. When Alice finally meets her dream man Arthur, mother nags father into a risky business venture and plans to impress Alice’s beau with an “upscale” family dinner. Will the excruciating results drive Arthur away?",3.3,5.7K,5.1K,757,3 FANS,George Stevens,alice-adams-1935
"YOU HAVE WAITED SEVEN YEARS FOR THIS!
Lovely, gifted Irene Foster hopes that her childhood sweetheart-turned Broadway producer Robert Gordon will recognize her–and her talent. Gordon is too busy sparring with a dirt-dishing gossip columnist to notice, but his wisecracking, heart-of-gold secretary certainly does. She and Irene must use their wits to show him what he’s missing!",3.3,4K,2.4K,409,2 FANS,Roy Del Ruth,broadway-melody-of-1936-1935
"A MILLION DOLLARS WORTH OF ADVENTURE!
Dr. Peter Blood, unjustly convicted of treason and exiled from England, becomes a notorious pirate.",3.7,15K,18K,4.2K,39 FANS,Michael Curtiz,captain-blood-1935
"1935’S MOST BELOVED MOTION PICTURE!
A young man journeys from a difficult childhood to maturity, exploring social injustice, personal development, and the complexities of human relationships.",3.4,5.7K,3.5K,493,,George Cukor,david-copperfield-1935
"Gypo Nolan is a former Irish Republican Army man who drowns his sorrows in the bottle. He’s desperate to escape his bleak Dublin life and start over in America with his girlfriend. So when British authorities advertise a reward for information about his best friend, current IRA member Frankie, Gypo cooperates. Now Gypo can buy two tickets on a boat bound for the States, but can he escape the overwhelming guilt he feels for betraying his buddy?",3.7,12K,9.3K,2K,8 FANS,John Ford,the-informer-1935
"SET IN THE SPECTACLE OF MYSTIC INDIA WITH ITS GLITTERING MOSQUES, OIRENTAL PALACES, WEIRD MUSIC, BRONZED NAUTCH DANCERS
In the Northwest Frontier of India, the 41st Bengal Lancers leaded by the harsh Colonel Tom Stone are having trouble with the rebellious leader Mohammed Khan. After two casualties, the experienced but insubordinate Lieutenant Alan McGregor receives as replacement, the arrogant Lieutenant Forsythe and the immature son of Colonel Stone, Lieutenant Donald Stone. With the intention to prove that he will not have any privilege in the troop, the reception …more",3.3,5K,2.3K,290,1 FAN,Henry Hathaway,the-lives-of-a-bengal-lancer-1935
"THREE CENTURIES IN THE MAKING! AN IMMORTAL LITERARY CLASSIC BECOMES A TRIUMPH OF THE AGES!
Four young people escape Athens to a forest where the king and queen of the fairies are quarreling, while meanwhile, a troupe of amateur actors rehearses a play. When the fairy Puck uses a magic flower to make people fall in love, the whole thing becomes a little bit confused…",3.4,7.1K,5.1K,985,14 FANS,"William Dieterle, Max Reinhardt",a-midsummer-nights-dream-1935
"THE IMMORTAL CLASSIC THAT SHOOK A NATION… IS NOW A GLORIOUS PICTURE !
In 19th century France, Jean Valjean, a man imprisoned for stealing bread, must flee a relentless policeman named Javert. The pursuit consumes both men’s lives, and soon Valjean finds himself in the midst of the student revolutions in France.",3.6,3.6K,2.5K,452,6 FANS,Richard Boleslawski,les-miserables-1935
"JEANETTE MACDONALD AND NELSON EDDY TOGETHER FOR THE FIRST TIME!
In order to avoid a prearranged marriage, a rebellious French princess sheds her identity and escapes to colonial New Orleans, where she finds an unlikely true love.",3.2,4.1K,1.5K,197,8 FANS,"W.S. Van Dyke, Robert Z. Leonard",naughty-marietta-1935
"SH-H-H-H! TONIGHT’S YOUR NIGHT TO HOWL! AND HOWL YOU WILL AT THIS FUNNIEST OF ALL COMEDIES…
In this comedy of an Englishman stranded in a sea of barbaric Americans, Marmaduke Ruggles - a gentleman’s gentleman and butler to an Earl - is lost in a poker game to an uncouth American cattle baron. Ruggles’ life is turned upside down as he’s taken to the USA, is gradually assimilated into American life, accidentally becomes a local celebrity, and falls in love along the way.",3.9,8.7K,5.8K,1.6K,23 FANS,Leo McCarey,ruggles-of-red-gap-1935
"THEY’RE DANCING CHEEK-TO-CHEEK AGAIN!
Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace’s hotel room, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace.",3.8,31K,47K,12K,248 FANS,Mark Sandrich,top-hat-1935
"THE SENSATION OF THE CENTURY!
At the 1893 Chicago World’s Fair, sideshow barker Florenz Ziegfeld turns the tables on his more-successful neighbor Billings, and also steals his girlfriend. This pattern repeats throughout their lives, as Ziegfeld makes and loses many fortunes putting on ever-bigger, more spectacular shows",3.0,17K,11K,1.1K,2 FANS,Robert Z. Leonard,the-great-ziegfeld-1936
"THE THRILL OF THRILLS THE WORLD COULD NOT FORGET!
Based on the novel by Hervey Allen, this expansive drama follows the many adventures of the eponymous hero, Anthony Adverse. Abandoned at a convent by his heartless nobleman father, Don Luis, Anthony is later mentored by his kind grandfather, John Bonnyfeather, and falls for the beautiful Angela Giuseppe. When circumstances separate Anthony and Angela and he embarks on a long journey, he must find his way back to her, no matter what the cost.",2.9,4.7K,1.6K,118,,Mervyn LeRoy,anthony-adverse-1936
"HERE IS A PICTURE THAT WAS MARKED FOR GREATNESS BEFORE IT WAS EVER SCREENED!
A retired auto manufacturer and his wife take a long-planned European vacation only to find that they want very different things from life.",3.8,14K,11K,2.5K,17 FANS,William Wyler,dodsworth-1936
"AT THE TOP OF THEIR GAME.
When a major newspaper accuses wealthy socialite Connie Allenbury of being a home-wrecker, and she files a multi-million-dollar libel lawsuit, the publication’s frazzled head editor, Warren Haggerty, must find a way to turn the tables on her. Soon Haggerty’s harried fiancée, Gladys Benton, and his dashing friend Bill Chandler are in on a scheme that aims to discredit Connie, with amusing and unexpected results.",3.8,8.7K,11K,3.3K,34 FANS,Jack Conway,libeled-lady-1936
"ROCKING AMERICA WITH LAUGHTER!
Longfellow Deeds lives in a small town, leading a small town kind of life. When a relative dies and leaves Deeds a fortune, Longfellow moves to the big city where he becomes an instant target for everyone. Deeds outwits them all until Babe Bennett comes along. When small-town boy meets big-city girl anything can, and does, happen.",3.9,20K,26K,6.6K,50 FANS,Frank Capra,mr-deeds-goes-to-town-1936
"THE CLASSIC LOVE STORY BY WILLIAM SHAKESPEARE.
Young love is poisoned by a generations long feud between two noble families.",3.1,4.9K,2.7K,323,1 FAN,George Cukor,romeo-and-juliet-1936
"SHE FELL IN LOVE . . . WITH THE TOUGHEST GUY ON THE TOUGHEST STREET IN THE WORLD!
A beautiful singer and a battling priest try to reform a Barbary Coast saloon owner in the days before the great earthquake and subsequent fires in 1906.",3.4,6.3K,5K,801,2 FANS,W.S. Van Dyke,san-francisco-1936
"IF THIS STORY DIDN’T HAVE A HAPPY ENDING YOU AND YOU AND YOU MIGHT NOT BE ALIVE TODAY TO SEE IT…
A true story about Louis Pasteur, who revolutionized medicine by proving that much disease is caused by microbes, that sanitation is paramount and that at least some diseases can be cured by vaccinations.",3.4,5.6K,3.1K,447,,William Dieterle,the-story-of-louis-pasteur-1936
"THE IMMORTAL STORY OF LOVE AND INTRIGUE DURING THE FRENCH REVOLUTION!
Set against the conditions leading up to the French Revolution and the Reign of Terror, French doctor Alexandre Manette serves an 18-year imprisonment in the Bastille in Paris, followed by his release to live in London with the daughter he has never met.",3.7,5.8K,4.1K,789,13 FANS,Jack Conway,a-tale-of-two-cities-1936
"THEY SAY NOTHING THEY HEAR NOTHING THEY SEE NOTHING BUT KNOW EVERYTHING!
The three Craig sisters – Penny, Kay, and Joan – go to New York to stop their divorced father from marrying gold digger Donna Lyons and reunite him with their mother.",3.2,3.5K,1.5K,208,,Henry Koster,three-smart-girls-1936
"HE’LL HOLD YOU IN SILENCE AS DEEP AS YOUR EMOTIONS!
A fictionalized account of famous French writer Emile Zola and his involvement in the Dreyfus Affair. After struggling to establish himself, Zola wins success writing about the unsavory side of Paris and settles into a comfortable upper-class life. However, Zola’s complacency is shaken when Jewish officer Alfred Dreyfus is imprisoned for being a spy. Realizing that Dreyfus is an innocent victim of anti-Semitism, Zola boldly pens a newspaper article …more",3.3,21K,11K,1.3K,2 FANS,William Dieterle,the-life-of-emile-zola-1937
"DANGER! WILD WOMAN ON THE LOOSE!
Unfounded suspicions lead a married couple to begin divorce proceedings, whereupon they start undermining each other’s attempts to find new romance.",3.9,30K,41K,12K,168 FANS,Leo McCarey,the-awful-truth-1937
"AS GREAT AS “MUTINY ON THE BOUNTY”
Harvey, the arrogant and spoiled son of an indulgent absentee-father, falls overboard from a transatlantic steamship and is rescued by a fishing vessel on the Grand Banks. Harvey fails to persuade them to take him ashore, nor convince the crew of his wealth. The captain offers him a low-paid job, until they return to port, as part of the crew that turns him into a mature, considerate young man.",3.8,13K,10K,2.3K,61 FANS,Victor Fleming,captains-courageous-1937
"THE GREATEST GANGSTER THRILLER THAT EVER EXPLODED FROM THE SCREEN!
Mobster “Baby Face” Martin returns home to visit the New York neighborhood where he grew up, dropping in on his mother, who rejects him because of his gangster lifestyle, and his old girlfriend, Francey, now a syphilitic prostitute. Martin also crosses paths with Dave, a childhood friend struggling to make it as an architect, and the Dead End Kids, a gang of young boys roaming the streets of the city’s East Side slums.",3.6,9.3K,10K,2.4K,8 FANS,William Wyler,dead-end-1937
"CHINA… LAND OF UNREST… TOMORROW THEY MAY STARVE!
China, during the rule of the Qing Dynasty. The arranged marriage between Wang Lung, a humble farmer, and O-Lan, a domestic slave, will endure the many hardships of life over the years; but the temptations of a fragile prosperity will endanger their love and the survival of their entire family.",3.2,7K,3.5K,395,4 FANS,Sidney Franklin,the-good-earth-1937
"THE GREAT AMERICAN MOTION PICTURE!
The O’Leary brothers – honest Jack and roguish Dion – become powerful figures, and eventually rivals, in Chicago on the eve of its Great Fire.",3.2,4.7K,2.3K,304,,Henry King,in-old-chicago-1937
"AT LAST! THE MASTERPIECE OF AMERICA’S FOREMOST FILM GENIUS BLAZES TO THE SCREEN!
British diplomat Robert Conway and a small group of civilians crash-land in the Himalayas, where they are rescued by the inhabitants of the hidden, idyllic valley of Shangri-La. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-La provides a seductive escape for the world-weary Conway.",3.6,11K,12K,2.4K,42 FANS,Frank Capra,lost-horizon-1937
"SHE THRILLS YOU AGAIN!
The daughter of a struggling musician forms a symphony orchestra made up of his unemployed friends and through persistence, charm and a few misunderstandings, is able to get Leopold Stokowski to lead them in a concert that leads to a radio contract.",,3.7K,1.2K,147,,Henry Koster,one-hundred-men-and-a-girl-1937
"GREAT STARS! GREAT STORY! GREAT PICTURE!
The ups and downs in the lives and careers of a group of ambitious young actresses and show girls from disparate backgrounds brought together in a theatrical hostel.",3.9,12K,14K,4.5K,118 FANS,Gregory La Cava,stage-door-1937
"IS THE PRICE OF STARDOM A BROKEN HEART?
Esther Blodgett is just another starry-eyed farm kid trying to break into the movies. Waitressing at a Hollywood party, she catches the eye of her idol Norman Maine, is sent for a screen test, and before long attains stardom as newly minted Vicki Lester. She and Norman marry, though his career soon dwindles to nothing due to his chronic alcoholism.",3.6,13K,19K,4.1K,42 FANS,William A. Wellman,a-star-is-born-1937
"YOU’LL LOVE THEM ALL FOR GIVING YOU THE SWELLEST TIME YOU’VE EVER HAD!
Alice, the only relatively normal member of the eccentric Sycamore family, falls in love with Tony Kirby, but his wealthy banker father and snobbish mother strongly disapprove of the match. When the Kirbys are invited to dinner to become better acquainted with their future in-laws, things don’t turn out the way Alice had hoped.",3.8,27K,34K,9K,168 FANS,Frank Capra,you-cant-take-it-with-you-1938
"EXCITEMENT… DANGER… SUSPENSE… AS THIS CLASSIC ADVENTURE STORY SWEEPS ACROSS THE SCREEN!
Robin Hood fights nobly for justice against the evil Sir Guy of Gisbourne while striving to win the hand of the beautiful Maid Marian.",3.9,36K,73K,18K,414 FANS,"Michael Curtiz, William Keighley",the-adventures-of-robin-hood-1938
"AN AMERICAN CAVALCADE!
Classical violinist Roger Grant disappoints his family and teacher when he organizes a jazz band, but he and the band become successful. Roger falls in love with the band’s singer, Stella, but his reluctance to lose her leads him to thwart her efforts to become a solo star. When the World War separates them in 1917, Stella marries Roger’s best friend and, when Roger returns home after the war, an important concert at Carnegie Hall brings the corners …more",3.3,4.3K,1.7K,210,,Henry King,alexanders-ragtime-band-1938
"“NO BOY IS BAD, IF GIVEN A CHANCE!”
Devout but iron-willed Father Flanagan leads a community called Boys Town, a different sort of juvenile detention facility where, instead of being treated as underage criminals, the boys are shepherded into making themselves better people. But hard-nosed petty thief and pool shark Whitey Marsh, the impulsive and violent younger brother of an imprisoned murderer, might be too much for the good father’s tough-love system.",3.4,6.5K,5.5K,838,5 FANS,Norman Taurog,boys-town-1938
"SECRETS OF A DOCTOR AS TOLD BY A DOCTOR!
Andrew Manson, a young, idealistic, newly qualified Scottish doctor arrives in Wales takes his first job in a mining town, and begins to wonder at the persistent cough many of the miners have. When his attempts to prove its cause are thwarted, he moves to London. His new practice does badly. But when a friend shows him how to make a lucrative practice from rich hypochondriacs, it will take a great shock to show him what the truth of being a doctor really is.",3.3,4K,1.7K,227,1 FAN,King Vidor,the-citadel-1938
"Musician Adam Lemp and his four equally musical daughters, Emma, Ann, Kay, and Thea, live happily together. Each daughter has an upstanding young man for whom she cares. However, the arrival of a cynical, slovenly young composer named Mickey Borden turns the household upside-down, and romantic and tragic complications ensue.",3.3,4.4K,2.2K,379,2 FANS,Michael Curtiz,four-daughters-1938
